Code	occurrence	BR_edg_2	SC_edg_1	TM_edg_2	TR_edg_1	BB_edg_1	BB_edg_2	P1_edg_1	P1_edg_2	P2_edg_4	P2_edg_5	P3_edg_1	P3_edg_2	KR_edg_2	KR_edg_3	KR_edg_4	D1_edg_1	D1_edg_2	D1_edg_4	D1_edg_5	D2_edg_1	D2_edg_3	D2_edg_4	D2_edg_5	BR_int_2	SC_int_1	TM_int_1	TR_int_1	BB_int_1	BB_int_3	P1_int_1	P1_int_2	P2_int_1	P2_int_2	P3_int_1	P3_int_2	KR_int_1	KR_int_2	KR_int_3	D1_int_1	D1_int_6	D1_int_9	D1_int_10	D2_int_1	D2_int_2	D2_int_4	D2_int_6
durizibe	12	0	0	0	0	1	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	1	4	3	0	4	1	0	0	0	0	1	0	1	0	0	1	0
elaeguin	13	0	3	0	0	3	2	0	1	0	0	0	0	0	0	0	0	2	0	0	4	0	1	0	0	2	0	0	3	2	0	0	0	0	1	0	0	0	0	0	0	0	0	1	1	0	0
emberibe	2	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0
epipaure	9	0	0	3	0	4	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	3	0	0	0	0	0	0	0	3	0	1	0	0	0	0	0
epippinn	1	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
eryctome	11	0	0	0	0	4	3	0	0	0	0	0	0	0	0	0	1	0	2	0	0	4	0	0	0	0	1	0	3	3	0	0	0	0	0	0	0	0	0	4	0	3	3	0	0	0	0
fagrfrag	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
fagrrace	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
falcmolu	5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	1	0	0
fibrtinc	9	0	0	0	0	1	0	0	0	4	3	0	0	3	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	3	0	0	0	2	0	0	0	0	0	0	0	0	0
ficuapio	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
